company_id,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern
ASIANPAINT,?,?,?,Unknown/Transition
ATGL,?,?,?,Unknown/Transition
ATGL,?,?,?,Unknown/Transition
ATGL,?,?,?,Unknown/Transition
ATGL,?,?,?,Unknown/Transition
ATGL,?,?,?,Unknown/Transition
ATGL,?,?,?,Unknown/Transition
ATGL,?,?,?,Unknown/Transition
ATGL,?,?,?,Unknown/Transition
AXISBANK,+,-,+,Leveraged Grower
AXISBANK,+,-,+,Leveraged Grower
AXISBANK,-,-,+,Unknown/Transition
AXISBANK,-,+,+,Unknown/Transition
AXISBANK,+,-,-,Growth/Dividend Payer
AXISBANK,-,-,+,Unknown/Transition
AXISBANK,+,-,+,Leveraged Grower
AXISBANK,+,-,+,Leveraged Grower
AXISBANK,+,-,+,Leveraged Grower
AXISBANK,+,-,+,Leveraged Grower
AXISBANK,+,-,+,Leveraged Grower
AXISBANK,-,-,+,Unknown/Transition
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,+,+,-,Cash Accumulator/Asset Liquidation
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,+,+,-,Cash Accumulator/Asset Liquidation
BAJAJ-AUTO,+,+,-,Cash Accumulator/Asset Liquidation
BAJAJ-AUTO,+,-,-,Growth/Dividend Payer
BAJAJ-AUTO,?,?,?,Unknown/Transition
BAJAJFINSV,-,+,+,Unknown/Transition
BAJAJFINSV,-,+,+,Unknown/Transition
BAJAJFINSV,-,+,+,Unknown/Transition
BAJAJFINSV,-,-,+,Unknown/Transition
BAJAJFINSV,-,+,+,Unknown/Transition
BAJAJFINSV,-,-,+,Unknown/Transition
BAJAJFINSV,-,-,+,Unknown/Transition
BAJAJFINSV,-,-,+,Unknown/Transition
BAJAJFINSV,+,-,+,Leveraged Grower
BAJAJFINSV,-,+,+,Unknown/Transition
BAJAJFINSV,-,-,+,Unknown/Transition
BAJAJFINSV,-,-,+,Unknown/Transition
BAJAJFINSV,?,?,?,Unknown/Transition
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,+,-,Cash Accumulator/Asset Liquidation
BAJAJHLDNG,-,-,-,Distressed/Funding Dependent
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,+,-,-,Growth/Dividend Payer
BAJAJHLDNG,?,?,?,Unknown/Transition
BAJFINANCE,-,-,+,Unknown/Transition
BAJFINANCE,-,-,+,Unknown/Transition
BAJFINANCE,-,-,+,Unknown/Transition
BAJFINANCE,-,+,+,Unknown/Transition
BAJFINANCE,-,-,+,Unknown/Transition
BAJFINANCE,-,-,+,Unknown/Transition
BAJFINANCE,-,-,+,Unknown/Transition
BAJFINANCE,-,+,+,Unknown/Transition
BAJFINANCE,-,-,+,Unknown/Transition
BAJFINANCE,-,-,+,Unknown/Transition
BAJFINANCE,?,?,?,Unknown/Transition
BANKBARODA,+,-,-,Growth/Dividend Payer
BANKBARODA,+,-,+,Leveraged Grower
BANKBARODA,+,-,-,Growth/Dividend Payer
BANKBARODA,-,-,-,Distressed/Funding Dependent
BANKBARODA,+,-,-,Growth/Dividend Payer
BANKBARODA,-,-,+,Unknown/Transition
BANKBARODA,-,-,+,Unknown/Transition
BANKBARODA,+,-,+,Leveraged Grower
BANKBARODA,-,-,-,Distressed/Funding Dependent
BANKBARODA,+,-,-,Growth/Dividend Payer
BANKBARODA,-,-,-,Distressed/Funding Dependent
BANKBARODA,-,-,+,Unknown/Transition
BEL,-,+,-,Unknown/Transition
BEL,-,+,-,Unknown/Transition
BEL,+,-,-,Growth/Dividend Payer
BEL,+,-,-,Growth/Dividend Payer
BEL,-,+,-,Unknown/Transition
BEL,-,-,-,Distressed/Funding Dependent
BEL,+,-,-,Growth/Dividend Payer
BEL,+,-,-,Growth/Dividend Payer
BEL,+,-,-,Growth/Dividend Payer
BEL,+,-,-,Growth/Dividend Payer
BEL,+,+,-,Cash Accumulator/Asset Liquidation
BEL,+,-,-,Growth/Dividend Payer
BEL,?,?,?,Unknown/Transition
BHARTIARTL,+,-,-,Growth/Dividend Payer
BHARTIARTL,+,-,+,Leveraged Grower
BHARTIARTL,+,-,-,Growth/Dividend Payer
BHARTIARTL,+,-,-,Growth/Dividend Payer
BHARTIARTL,+,-,-,Growth/Dividend Payer
BHARTIARTL,+,-,+,Leveraged Grower
BHARTIARTL,+,-,+,Leveraged Grower
BHARTIARTL,+,-,+,Leveraged Grower
BHARTIARTL,+,-,-,Growth/Dividend Payer
BHARTIARTL,+,-,-,Growth/Dividend Payer
BHARTIARTL,+,-,-,Growth/Dividend Payer
BHARTIARTL,+,-,-,Growth/Dividend Payer
BHARTIARTL,?,?,?,Unknown/Transition
BHEL,+,-,+,Leveraged Grower
BHEL,+,-,+,Leveraged Grower
BHEL,+,+,-,Cash Accumulator/Asset Liquidation
BHEL,+,+,-,Cash Accumulator/Asset Liquidation
BHEL,+,-,-,Growth/Dividend Payer
BHEL,+,+,-,Cash Accumulator/Asset Liquidation
BHEL,-,+,-,Unknown/Transition
BHEL,-,+,+,Unknown/Transition
BHEL,+,-,-,Growth/Dividend Payer
BHEL,+,-,-,Growth/Dividend Payer
BHEL,-,+,+,Unknown/Transition
BHEL,-,+,+,Unknown/Transition
BHEL,?,?,?,Unknown/Transition
BOSCHLTD,+,-,-,Growth/Dividend Payer
BOSCHLTD,+,-,-,Growth/Dividend Payer
BOSCHLTD,+,-,-,Growth/Dividend Payer
BOSCHLTD,+,-,-,Growth/Dividend Payer
BOSCHLTD,+,+,-,Cash Accumulator/Asset Liquidation
BOSCHLTD,+,-,-,Growth/Dividend Payer
BOSCHLTD,+,+,-,Cash Accumulator/Asset Liquidation
BOSCHLTD,+,-,-,Growth/Dividend Payer
BOSCHLTD,+,-,-,Growth/Dividend Payer
BOSCHLTD,+,-,-,Growth/Dividend Payer
BOSCHLTD,+,+,-,Cash Accumulator/Asset Liquidation
BOSCHLTD,+,+,-,Cash Accumulator/Asset Liquidation
BOSCHLTD,?,?,?,Unknown/Transition
BPCL,+,-,-,Growth/Dividend Payer
BPCL,+,-,-,Growth/Dividend Payer
BPCL,+,-,-,Growth/Dividend Payer
BPCL,+,-,-,Growth/Dividend Payer
BPCL,+,-,+,Leveraged Grower
BPCL,+,-,-,Growth/Dividend Payer
BPCL,+,-,+,Leveraged Grower
BPCL,+,-,+,Leveraged Grower
BPCL,+,-,-,Growth/Dividend Payer
BPCL,+,-,-,Growth/Dividend Payer
BPCL,+,-,-,Growth/Dividend Payer
BPCL,+,-,-,Growth/Dividend Payer
BPCL,?,?,?,Unknown/Transition
BRITANNIA,+,+,-,Cash Accumulator/Asset Liquidation
BRITANNIA,+,-,-,Growth/Dividend Payer
BRITANNIA,+,-,-,Growth/Dividend Payer
BRITANNIA,+,-,-,Growth/Dividend Payer
BRITANNIA,+,-,-,Growth/Dividend Payer
BRITANNIA,+,-,-,Growth/Dividend Payer
BRITANNIA,+,-,-,Growth/Dividend Payer
BRITANNIA,+,-,+,Leveraged Grower
BRITANNIA,+,+,-,Cash Accumulator/Asset Liquidation
BRITANNIA,+,+,-,Cash Accumulator/Asset Liquidation
BRITANNIA,+,-,-,Growth/Dividend Payer
BRITANNIA,+,+,-,Cash Accumulator/Asset Liquidation
BRITANNIA,?,?,?,Unknown/Transition
CANBK,+,-,-,Growth/Dividend Payer
CANBK,+,-,-,Growth/Dividend Payer
CANBK,+,-,-,Growth/Dividend Payer
CANBK,+,-,-,Growth/Dividend Payer
CANBK,+,-,+,Leveraged Grower
CANBK,-,-,+,Unknown/Transition
CANBK,+,-,-,Growth/Dividend Payer
CANBK,-,-,+,Unknown/Transition
CANBK,+,-,+,Leveraged Grower
CANBK,+,-,+,Leveraged Grower
CANBK,-,-,+,Unknown/Transition
CANBK,+,-,-,Growth/Dividend Payer
CHOLAFIN,-,+,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,+,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,-,-,+,Unknown/Transition
CHOLAFIN,?,?,?,Unknown/Transition
CIPLA,+,-,+,Leveraged Grower
CIPLA,+,-,-,Growth/Dividend Payer
CIPLA,+,-,+,Leveraged Grower
CIPLA,+,-,+,Leveraged Grower
CIPLA,+,-,-,Growth/Dividend Payer
CIPLA,+,-,-,Growth/Dividend Payer
CIPLA,+,-,-,Growth/Dividend Payer
CIPLA,+,+,-,Cash Accumulator/Asset Liquidation
CIPLA,+,-,-,Growth/Dividend Payer
CIPLA,+,-,-,Growth/Dividend Payer
CIPLA,+,-,-,Growth/Dividend Payer
CIPLA,+,-,-,Growth/Dividend Payer
CIPLA,?,?,?,Unknown/Transition
COALINDIA,+,-,-,Growth/Dividend Payer
COALINDIA,+,+,-,Cash Accumulator/Asset Liquidation
COALINDIA,+,+,-,Cash Accumulator/Asset Liquidation
COALINDIA,+,+,-,Cash Accumulator/Asset Liquidation
COALINDIA,+,+,-,Cash Accumulator/Asset Liquidation
COALINDIA,+,-,-,Growth/Dividend Payer
COALINDIA,+,-,-,Growth/Dividend Payer
COALINDIA,+,+,-,Cash Accumulator/Asset Liquidation
COALINDIA,+,+,-,Cash Accumulator/Asset Liquidation
COALINDIA,+,-,-,Growth/Dividend Payer
COALINDIA,+,-,-,Growth/Dividend Payer
COALINDIA,+,-,-,Growth/Dividend Payer
COALINDIA,?,?,?,Unknown/Transition
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,+,-,Cash Accumulator/Asset Liquidation
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,+,-,-,Growth/Dividend Payer
DABUR,?,?,?,Unknown/Transition
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,-,+,Leveraged Grower
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,+,-,Cash Accumulator/Asset Liquidation
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,+,-,-,Growth/Dividend Payer
DIVISLAB,?,?,?,Unknown/Transition
DLF,+,+,-,Cash Accumulator/Asset Liquidation
DLF,+,+,-,Cash Accumulator/Asset Liquidation
DLF,+,+,-,Cash Accumulator/Asset Liquidation
DLF,+,-,-,Growth/Dividend Payer
DLF,-,+,+,Unknown/Transition
DLF,+,-,-,Growth/Dividend Payer
DLF,+,+,+,Unknown/Transition
DLF,+,+,-,Cash Accumulator/Asset Liquidation
DLF,+,+,-,Cash Accumulator/Asset Liquidation
DLF,+,+,-,Cash Accumulator/Asset Liquidation
DLF,+,-,-,Growth/Dividend Payer
DLF,+,-,+,Leveraged Grower
DLF,?,?,?,Unknown/Transition
DMART,+,-,+,Leveraged Grower
DMART,+,-,+,Leveraged Grower
DMART,+,-,+,Leveraged Grower
DMART,+,-,+,Leveraged Grower
DMART,+,-,+,Leveraged Grower
DMART,+,+,-,Cash Accumulator/Asset Liquidation
DMART,+,-,+,Leveraged Grower
DMART,+,-,+,Leveraged Grower
DMART,+,-,-,Growth/Dividend Payer
DMART,+,-,-,Growth/Dividend Payer
DMART,+,-,-,Growth/Dividend Payer
DMART,+,-,-,Growth/Dividend Payer
DMART,?,?,?,Unknown/Transition
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,+,-,-,Growth/Dividend Payer
DRREDDY,?,?,?,Unknown/Transition
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,+,Leveraged Grower
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,+,-,-,Growth/Dividend Payer
EICHERMOT,?,?,?,Unknown/Transition
GAIL,+,-,+,Leveraged Grower
GAIL,+,-,-,Growth/Dividend Payer
GAIL,+,-,-,Growth/Dividend Payer
GAIL,+,-,-,Growth/Dividend Payer
GAIL,+,-,-,Growth/Dividend Payer
GAIL,+,-,-,Growth/Dividend Payer
GAIL,+,-,-,Growth/Dividend Payer
GAIL,+,-,+,Leveraged Grower
GAIL,+,-,-,Growth/Dividend Payer
GAIL,+,-,-,Growth/Dividend Payer
GAIL,+,-,+,Leveraged Grower
GAIL,+,-,-,Growth/Dividend Payer
GAIL,?,?,?,Unknown/Transition
GODREJCP,+,-,+,Leveraged Grower
GODREJCP,+,-,-,Growth/Dividend Payer
GODREJCP,+,-,-,Growth/Dividend Payer
GODREJCP,+,-,-,Growth/Dividend Payer
GODREJCP,+,-,+,Leveraged Grower
GODREJCP,+,-,-,Growth/Dividend Payer
GODREJCP,+,+,-,Cash Accumulator/Asset Liquidation
GODREJCP,+,-,-,Growth/Dividend Payer
GODREJCP,+,-,-,Growth/Dividend Payer
GODREJCP,+,-,-,Growth/Dividend Payer
GODREJCP,+,-,-,Growth/Dividend Payer
GODREJCP,+,-,+,Leveraged Grower
GODREJCP,?,?,?,Unknown/Transition
GRASIM,+,-,+,Leveraged Grower
GRASIM,+,-,-,Growth/Dividend Payer
GRASIM,+,-,-,Growth/Dividend Payer
GRASIM,+,-,-,Growth/Dividend Payer
GRASIM,+,-,-,Growth/Dividend Payer
GRASIM,-,+,+,Unknown/Transition
GRASIM,-,-,+,Unknown/Transition
GRASIM,+,-,-,Growth/Dividend Payer
GRASIM,+,-,-,Growth/Dividend Payer
GRASIM,+,-,-,Growth/Dividend Payer
GRASIM,-,-,+,Unknown/Transition
GRASIM,-,-,+,Unknown/Transition
GRASIM,?,?,?,Unknown/Transition
HAL,?,?,?,Unknown/Transition
HAL,?,?,?,Unknown/Transition
HAL,?,?,?,Unknown/Transition
HAL,?,?,?,Unknown/Transition
HAL,-,+,-,Unknown/Transition
HAL,-,+,-,Unknown/Transition
HAL,-,+,+,Unknown/Transition
HAL,+,-,+,Leveraged Grower
HAL,+,-,-,Growth/Dividend Payer
HAL,+,-,-,Growth/Dividend Payer
HAL,+,-,-,Growth/Dividend Payer
HAL,+,-,-,Growth/Dividend Payer
HAL,?,?,?,Unknown/Transition
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,+,+,-,Cash Accumulator/Asset Liquidation
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,+,-,+,Leveraged Grower
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,+,+,-,Cash Accumulator/Asset Liquidation
HAVELLS,+,-,-,Growth/Dividend Payer
HAVELLS,?,?,?,Unknown/Transition
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,+,-,Cash Accumulator/Asset Liquidation
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,+,-,-,Growth/Dividend Payer
HCLTECH,?,?,?,Unknown/Transition
HDFCBANK,-,-,+,Unknown/Transition
HDFCBANK,+,-,+,Leveraged Grower
HDFCBANK,-,-,+,Unknown/Transition
HDFCBANK,-,-,+,Unknown/Transition
HDFCBANK,+,-,-,Growth/Dividend Payer
HDFCBANK,+,-,+,Leveraged Grower
HDFCBANK,-,-,+,Unknown/Transition
HDFCBANK,-,-,+,Unknown/Transition
HDFCBANK,+,-,-,Growth/Dividend Payer
HDFCBANK,-,-,+,Unknown/Transition
HDFCBANK,+,-,+,Leveraged Grower
HDFCBANK,+,+,-,Cash Accumulator/Asset Liquidation
HDFCLIFE,-,-,-,Distressed/Funding Dependent
HDFCLIFE,-,-,-,Distressed/Funding Dependent
HDFCLIFE,+,-,-,Growth/Dividend Payer
HDFCLIFE,+,-,-,Growth/Dividend Payer
HDFCLIFE,+,-,-,Growth/Dividend Payer
HDFCLIFE,+,-,-,Growth/Dividend Payer
HDFCLIFE,+,-,-,Growth/Dividend Payer
HDFCLIFE,+,-,+,Leveraged Grower
HDFCLIFE,+,-,+,Leveraged Grower
HDFCLIFE,+,-,-,Growth/Dividend Payer
HDFCLIFE,+,-,+,Leveraged Grower
HDFCLIFE,+,-,-,Growth/Dividend Payer
HDFCLIFE,?,?,?,Unknown/Transition
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,+,+,-,Cash Accumulator/Asset Liquidation
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,+,+,-,Cash Accumulator/Asset Liquidation
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,+,-,-,Growth/Dividend Payer
HEROMOTOCO,?,?,?,Unknown/Transition
HINDALCO,+,-,+,Leveraged Grower
HINDALCO,+,-,+,Leveraged Grower
HINDALCO,+,-,-,Growth/Dividend Payer
HINDALCO,+,-,-,Growth/Dividend Payer
HINDALCO,+,-,-,Growth/Dividend Payer
HINDALCO,+,+,-,Cash Accumulator/Asset Liquidation
HINDALCO,+,-,-,Growth/Dividend Payer
HINDALCO,+,-,+,Leveraged Grower
HINDALCO,+,-,-,Growth/Dividend Payer
HINDALCO,+,-,-,Growth/Dividend Payer
HINDALCO,+,-,-,Growth/Dividend Payer
HINDALCO,+,-,-,Growth/Dividend Payer
HINDALCO,?,?,?,Unknown/Transition
HINDUNILVR,+,+,-,Cash Accumulator/Asset Liquidation
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,+,+,-,Cash Accumulator/Asset Liquidation
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,+,+,-,Cash Accumulator/Asset Liquidation
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,+,-,-,Growth/Dividend Payer
HINDUNILVR,?,?,?,Unknown/Transition
ICICIBANK,+,-,+,Leveraged Grower
ICICIBANK,+,-,+,Leveraged Grower
ICICIBANK,-,-,+,Unknown/Transition
ICICIBANK,+,-,+,Leveraged Grower
ICICIBANK,+,-,-,Growth/Dividend Payer
ICICIBANK,+,-,+,Leveraged Grower
ICICIBANK,+,-,-,Growth/Dividend Payer
ICICIBANK,+,-,+,Leveraged Grower
ICICIBANK,+,-,-,Growth/Dividend Payer
ICICIBANK,+,-,+,Leveraged Grower
ICICIBANK,-,-,+,Unknown/Transition
ICICIBANK,+,-,+,Leveraged Grower
ICICIGI,+,-,+,Leveraged Grower
ICICIGI,+,-,+,Leveraged Grower
ICICIGI,-,+,-,Unknown/Transition
ICICIGI,+,-,-,Growth/Dividend Payer
ICICIGI,+,-,+,Leveraged Grower
ICICIGI,+,-,-,Growth/Dividend Payer
ICICIGI,+,-,-,Growth/Dividend Payer
ICICIGI,+,-,-,Growth/Dividend Payer
