# Ratio Edge Case Log -- generated 2026-07-07T09:30:17
# Total KPI edge cases logged: 6487
# Total Day-13 ROCE/ROE cross-check anomalies: 2

## KPI edge cases
[ABB | 2012-12] interest_coverage_ratio: debt-free company (interest expense is zero)
[ABB | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2018-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2018-03] eps_cagr_10yr: INSUFFICIENT
[ABB | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2019-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2019-03] eps_cagr_10yr: INSUFFICIENT
[ABB | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2020-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2020-03] eps_cagr_10yr: INSUFFICIENT
[ABB | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2021-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2021-03] eps_cagr_10yr: INSUFFICIENT
[ABB | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2022-03] pat_cagr_10yr: INSUFFICIENT
[ABB | 2022-03] eps_cagr_10yr: INSUFFICIENT
[ABB | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[ABB | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[ABB | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[ABB | 2024-09] pat_cagr_3yr: INSUFFICIENT
[ABB | 2024-09] pat_cagr_5yr: INSUFFICIENT
[ABB | 2024-09] pat_cagr_10yr: INSUFFICIENT
[ABB | 2024-09] eps_cagr_3yr: INSUFFICIENT
[ABB | 2024-09] eps_cagr_5yr: INSUFFICIENT
[ABB | 2024-09] eps_cagr_10yr: INSUFFICIENT
[ABB | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[ADANIENSOL | 2014-03] net_profit_margin_pct: sales is zero/missing
[ADANIENSOL | 2014-03] operating_profit_margin_pct: sales is zero/missing
[ADANIENSOL | 2014-03] return_on_assets_pct: total_assets is zero/missing
[ADANIENSOL | 2014-03] interest_coverage_ratio: debt-free company (interest expense is zero)
[ADANIENSOL | 2014-03] asset_turnover: total_assets is zero/missing
[ADANIENSOL | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2014-03] pat_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2014-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2014-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2014-03] eps_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2014-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2014-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2014-03] cfo_quality_score: no years with positive PAT in trailing window
[ADANIENSOL | 2014-03] fcf_conversion_rate_pct: operating_profit is zero/missing
[ADANIENSOL | 2015-03] interest_coverage_ratio: ICR < 1.5 (value=1.42): at risk of not covering interest
[ADANIENSOL | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2015-03] pat_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2015-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2015-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2015-03] eps_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2015-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2015-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2015-03] cfo_quality_score: no years with positive PAT in trailing window
[ADANIENSOL | 2016-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2016-03] pat_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2016-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2016-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2016-03] eps_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2016-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2016-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2017-03] revenue_cagr_3yr: ZERO_BASE
[ADANIENSOL | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2017-03] pat_cagr_3yr: ZERO_BASE
[ADANIENSOL | 2017-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2017-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2017-03] eps_cagr_3yr: ZERO_BASE
[ADANIENSOL | 2017-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2017-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2018-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2018-03] pat_cagr_3yr: TURNAROUND
[ADANIENSOL | 2018-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2018-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2018-03] eps_cagr_3yr: ZERO_BASE
[ADANIENSOL | 2018-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2018-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2019-03] revenue_cagr_5yr: ZERO_BASE
[ADANIENSOL | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2019-03] pat_cagr_5yr: ZERO_BASE
[ADANIENSOL | 2019-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2019-03] eps_cagr_5yr: ZERO_BASE
[ADANIENSOL | 2019-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2020-03] pat_cagr_5yr: TURNAROUND
[ADANIENSOL | 2020-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2020-03] eps_cagr_5yr: ZERO_BASE
[ADANIENSOL | 2020-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2021-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2021-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2022-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2022-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2023-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2023-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2023-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2024-03] operating_profit_margin_pct: cross-check mismatch vs source opm_percentage (>1pp): computed=34.38911302462817, source=30.0
[ADANIENSOL | 2024-03] revenue_cagr_10yr: ZERO_BASE
[ADANIENSOL | 2024-03] pat_cagr_10yr: ZERO_BASE
[ADANIENSOL | 2024-03] eps_cagr_10yr: ZERO_BASE
[ADANIENSOL | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2024-09] pat_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2024-09] pat_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2024-09] pat_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2024-09] eps_cagr_3yr: INSUFFICIENT
[ADANIENSOL | 2024-09] eps_cagr_5yr: INSUFFICIENT
[ADANIENSOL | 2024-09] eps_cagr_10yr: INSUFFICIENT
[ADANIENSOL | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[ADANIENT | 2013-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIENT | 2013-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENT | 2013-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2013-03] pat_cagr_3yr: INSUFFICIENT
[ADANIENT | 2013-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENT | 2013-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2013-03] eps_cagr_3yr: INSUFFICIENT
[ADANIENT | 2013-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENT | 2013-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIENT | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENT | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2014-03] pat_cagr_3yr: INSUFFICIENT
[ADANIENT | 2014-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENT | 2014-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2014-03] eps_cagr_3yr: INSUFFICIENT
[ADANIENT | 2014-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENT | 2014-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIENT | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENT | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2015-03] pat_cagr_3yr: INSUFFICIENT
[ADANIENT | 2015-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENT | 2015-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2015-03] eps_cagr_3yr: INSUFFICIENT
[ADANIENT | 2015-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENT | 2015-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENT | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2016-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENT | 2016-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2016-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENT | 2016-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIENT | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2017-03] pat_cagr_5yr: INSUFFICIENT
[ADANIENT | 2017-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2017-03] eps_cagr_5yr: INSUFFICIENT
[ADANIENT | 2017-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2018-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2018-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2019-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2019-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2020-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2020-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2021-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2021-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2022-03] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2022-03] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[ADANIENT | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[ADANIENT | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[ADANIENT | 2024-09] pat_cagr_3yr: INSUFFICIENT
[ADANIENT | 2024-09] pat_cagr_5yr: INSUFFICIENT
[ADANIENT | 2024-09] pat_cagr_10yr: INSUFFICIENT
[ADANIENT | 2024-09] eps_cagr_3yr: INSUFFICIENT
[ADANIENT | 2024-09] eps_cagr_5yr: INSUFFICIENT
[ADANIENT | 2024-09] eps_cagr_10yr: INSUFFICIENT
[ADANIENT | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[ADANIGREEN | 2017-03] interest_coverage_ratio: ICR < 1.5 (value=1.45): at risk of not covering interest
[ADANIGREEN | 2017-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2017-03] pat_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2017-03] pat_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2017-03] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2017-03] eps_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2017-03] eps_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2017-03] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2017-03] cfo_quality_score: no years with positive PAT in trailing window
[ADANIGREEN | 2018-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2018-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2018-03] pat_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2018-03] pat_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2018-03] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2018-03] eps_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2018-03] eps_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2018-03] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2018-03] cfo_quality_score: no years with positive PAT in trailing window
[ADANIGREEN | 2019-03] interest_coverage_ratio: ICR < 1.5 (value=1.43): at risk of not covering interest
[ADANIGREEN | 2019-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2019-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2019-03] pat_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2019-03] pat_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2019-03] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2019-03] eps_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2019-03] eps_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2019-03] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2019-03] cfo_quality_score: no years with positive PAT in trailing window
[ADANIGREEN | 2020-03] interest_coverage_ratio: ICR < 1.5 (value=1.35): at risk of not covering interest
[ADANIGREEN | 2020-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2020-03] pat_cagr_3yr: BOTH_NEGATIVE
[ADANIGREEN | 2020-03] pat_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2020-03] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2020-03] eps_cagr_3yr: ZERO_BASE
[ADANIGREEN | 2020-03] eps_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2020-03] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2020-03] cfo_quality_score: no years with positive PAT in trailing window
[ADANIGREEN | 2021-03] interest_coverage_ratio: ICR < 1.5 (value=1.35): at risk of not covering interest
[ADANIGREEN | 2021-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2021-03] pat_cagr_3yr: TURNAROUND
[ADANIGREEN | 2021-03] pat_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2021-03] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2021-03] eps_cagr_3yr: TURNAROUND
[ADANIGREEN | 2021-03] eps_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2021-03] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2022-03] pat_cagr_3yr: TURNAROUND
[ADANIGREEN | 2022-03] pat_cagr_5yr: TURNAROUND
[ADANIGREEN | 2022-03] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2022-03] eps_cagr_3yr: TURNAROUND
[ADANIGREEN | 2022-03] eps_cagr_5yr: ZERO_BASE
[ADANIGREEN | 2022-03] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2023-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2023-03] pat_cagr_3yr: TURNAROUND
[ADANIGREEN | 2023-03] pat_cagr_5yr: TURNAROUND
[ADANIGREEN | 2023-03] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2023-03] eps_cagr_3yr: ZERO_BASE
[ADANIGREEN | 2023-03] eps_cagr_5yr: TURNAROUND
[ADANIGREEN | 2023-03] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2024-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2024-03] pat_cagr_5yr: TURNAROUND
[ADANIGREEN | 2024-03] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2024-03] eps_cagr_5yr: TURNAROUND
[ADANIGREEN | 2024-03] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2024-09] pat_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2024-09] pat_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2024-09] pat_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2024-09] eps_cagr_3yr: INSUFFICIENT
[ADANIGREEN | 2024-09] eps_cagr_5yr: INSUFFICIENT
[ADANIGREEN | 2024-09] eps_cagr_10yr: INSUFFICIENT
[ADANIGREEN | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[ADANIPORTS | 2013-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2013-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2013-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2013-03] pat_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2013-03] pat_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2013-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2013-03] eps_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2013-03] eps_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2013-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2014-03] pat_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2014-03] pat_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2014-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2014-03] eps_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2014-03] eps_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2014-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2015-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2015-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2015-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2015-03] pat_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2015-03] pat_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2015-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2015-03] eps_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2015-03] eps_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2015-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2016-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2016-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2016-03] pat_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2016-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2016-03] eps_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2016-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2017-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2017-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2017-03] pat_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2017-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2017-03] eps_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2017-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2018-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2018-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2018-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2019-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2019-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2019-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2020-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2020-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2020-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2021-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2021-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2021-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2022-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2022-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2022-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2024-09] revenue_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2024-09] revenue_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2024-09] revenue_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2024-09] pat_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2024-09] pat_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2024-09] pat_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2024-09] eps_cagr_3yr: INSUFFICIENT
[ADANIPORTS | 2024-09] eps_cagr_5yr: INSUFFICIENT
[ADANIPORTS | 2024-09] eps_cagr_10yr: INSUFFICIENT
[ADANIPORTS | 2024-09] capital_allocation_pattern: no cash flow statement for this year
[ADANIPOWER | 2013-03] interest_coverage_ratio: ICR < 1.5 (value=0.69): at risk of not covering interest
[ADANIPOWER | 2013-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIPOWER | 2013-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIPOWER | 2013-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPOWER | 2013-03] pat_cagr_3yr: INSUFFICIENT
[ADANIPOWER | 2013-03] pat_cagr_5yr: INSUFFICIENT
[ADANIPOWER | 2013-03] pat_cagr_10yr: INSUFFICIENT
[ADANIPOWER | 2013-03] eps_cagr_3yr: INSUFFICIENT
[ADANIPOWER | 2013-03] eps_cagr_5yr: INSUFFICIENT
[ADANIPOWER | 2013-03] eps_cagr_10yr: INSUFFICIENT
[ADANIPOWER | 2013-03] cfo_quality_score: no years with positive PAT in trailing window
[ADANIPOWER | 2014-03] interest_coverage_ratio: ICR < 1.5 (value=1.14): at risk of not covering interest
[ADANIPOWER | 2014-03] revenue_cagr_3yr: INSUFFICIENT
[ADANIPOWER | 2014-03] revenue_cagr_5yr: INSUFFICIENT
[ADANIPOWER | 2014-03] revenue_cagr_10yr: INSUFFICIENT
[ADANIPOWER | 2014-03] pat_cagr_3yr: INSUFFICIENT
